name,types,levitate,weight,hp,attack,defense,special_attack,special_defense,speed,weakness_bug,weakness_dark,weakness_dragon,weakness_electric,weakness_fairy,weakness_fighting,weakness_fire,weakness_flying,weakness_ghost,weakness_grass,weakness_ground,weakness_ice,weakness_normal,weakness_poison,weakness_psychic,weakness_rock,weakness_steel,weakness_water
Gigalith,rock;none,0,260,85,135,130,60,80,25,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
Gimmighoul,ghost,0,2.6,45,30,70,75,70,10,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
Girafarig,normal;psychic,0,41.5,70,80,65,90,65,85,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1
Glaceon,ice;none,0,25.9,65,60,110,130,95,65,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Glalie,ice;none,0,256.5,80,80,80,80,80,80,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Glameow,normal;none,0,3.9,49,55,42,42,37,85,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Glastrier,ice;none,0,208,100,145,130,65,110,30,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Gligar,ground;flying,0,64.8,65,75,105,35,65,85,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2
Glimmet,poison;rock,0,8,48,35,42,105,60,60,0.5,1,1,1,0.5,1,0.5,0.5,1,1,4,1,0.5,0.25,2,1,2,2
Glimmora,rock;poison,0,45,83,55,90,130,81,86,0.5,1,1,1,0.5,1,0.5,0.5,1,1,4,1,0.5,0.25,2,1,2,2
Gliscor,ground;flying,0,42.5,75,95,125,45,75,95,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2
Gloom,grass;poison,0,8.6,60,65,70,85,75,40,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
Gogoat,grass;none,0,91,123,100,62,97,81,68,2,1,1,0.5,1,1,2,2,1,0,0.5,2,1,2,1,1,1,0.5
Golbat,poison;flying,0,55,75,80,70,65,75,90,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1
Goldeen,water;none,0,15,45,67,60,35,50,63,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Golduck,water;none,0,76.6,80,82,78,95,80,85,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Golem,rock;ground,0,300,80,120,130,55,65,45,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
Golett,ground;ghost,0,92,59,74,50,35,50,35,0.5,2,1,0,1,0,1,1,2,2,1,2,0,0.25,1,0.5,1,2
Golisopod,bug;water,0,108,75,125,140,60,90,40,1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5
Golurk,ground;ghost,0,330,89,124,80,55,80,55,0.5,2,1,0,1,0,1,1,2,2,1,2,0,0.25,1,0.5,1,2
Goodra,dragon;none,0,150.5,90,100,70,110,150,80,1,1,2,0.5,2,1,0.5,1,1,0,1,2,1,1,1,1,1,0.5
Goomy,dragon;none,0,2.8,45,50,35,55,75,40,1,1,2,0.5,2,1,0.5,1,1,0,1,2,1,1,1,1,1,0.5
Gorebyss,water;none,0,22.6,55,84,105,114,75,52,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Gossifleur,grass;none,0,2.2,40,40,60,40,60,10,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Gothita,psychic;none,0,5.8,45,30,50,55,65,45,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Gothitelle,psychic;none,0,44,70,55,95,95,110,65,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Gothorita,psychic;none,0,18,60,45,70,75,85,55,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Gourgeist,ghost;grass,0,12.5,65,90,122,58,75,84,1,2,1,0.5,1,0,2,2,2,0.5,0.5,2,0,1,1,1,1,0.5
Grafaiai,poison;normal,0,27.2,63,95,65,80,72,110,0.5,1,1,1,0.5,1,1,1,0,0.5,2,1,1,0.5,2,1,1,1
Granbull,fairy;none,0,48.7,90,120,75,60,60,45,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
Grapploct,fighting;none,0,39,80,118,90,70,80,42,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
Graveler,rock;ground,0,105,55,95,115,45,45,35,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
Great Tusk,ground;fighting,0,320,115,131,131,53,53,87,0.5,0.5,1,0,2,1,1,2,1,2,1,2,1,0.5,2,0.25,1,2
Greavard,ghost,0,35,50,61,60,30,55,34,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
Greedent,normal;none,0,6,120,95,95,55,75,20,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Greninja,water;dark,0,40,72,95,67,103,71,122,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5
Grimer,poison;none,0,30,80,80,50,40,50,25,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
Grimmsnarl,dark;fairy,0,61,95,120,65,95,75,60,1,0.25,0,1,2,1,1,1,0.5,1,1,1,1,2,0,1,2,1
Grookey,grass;none,0,5,50,65,50,40,40,65,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Grotle,grass;none,0,97,75,89,85,55,65,36,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Groudon,ground;none,0,950,100,150,140,100,90,90,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
Grovyle,grass;none,0,21.6,50,65,45,85,65,95,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Growlithe,fire;none,0,19,55,70,45,70,50,60,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Grubbin,bug;none,0,4.4,47,62,45,55,45,46,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
Grumpig,psychic;none,0,71.5,80,45,65,90,110,80,2,2,1,1,1,0.5,0.5,1,2,1,1,0.5,1,1,0.5,1,1,1
Gulpin,poison;none,0,10.3,70,43,53,43,53,40,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
Gumshoos,normal;none,0,14.2,88,110,60,55,60,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Gurdurr,fighting;none,0,40,85,105,85,40,50,40,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
Guzzlord,dark;dragon,0,888,223,101,53,97,53,43,2,0.5,2,0.5,4,2,0.5,1,0.5,0.5,1,2,1,1,0,1,1,0.5
Gyarados,water;flying,0,235,95,125,79,60,100,81,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
Hakamo-o,dragon;fighting,0,47,55,75,90,65,70,65,0.5,0.5,2,0.5,4,1,0.5,2,1,0.5,1,2,1,1,2,0.5,1,0.5
Happiny,normal;none,0,24.4,100,5,5,15,65,30,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Hariyama,fighting;none,0,253.8,144,120,60,40,60,50,0.5,0.5,1,1,2,1,0.5,2,1,1,1,0.5,1,1,2,0.5,1,1
Hatenna,psychic;none,0,3.4,42,30,45,56,53,39,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Hatterene,psychic;fairy,0,5,57,90,95,136,103,29,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
Hattrem,psychic;none,0,4.8,57,40,65,86,73,49,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Haunter,ghost;poison,1,0.1,45,50,45,115,55,95,0.25,2,1,1,0.5,0,1,1,2,0.5,0,1,0,0.25,2,1,1,1
Hawlucha,fighting;flying,0,21.5,78,92,75,74,63,118,0.25,0.5,1,2,2,0.5,1,2,1,0.5,0,2,1,1,2,1,1,1
Haxorus,dragon;none,0,105.5,76,147,90,60,70,97,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
Heat Rotom,electric;fire,1,0.3,50,65,107,105,107,86,0.5,1,1,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,1,1,2,0.25,2
Heatmor,fire;none,0,58,85,97,66,105,66,65,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Heatran,fire;steel,0,430,91,90,106,130,106,77,0.25,1,0.5,1,0.25,2,0,0.5,1,0.25,4,0.25,0.5,0,0.5,1,0.25,2
Heliolisk,electric;normal,0,21,62,55,52,109,94,109,1,1,1,0.5,1,2,1.25,0.5,0,1,2,1,1,1,1,1,0.5,0
Helioptile,electric;normal,0,6,44,38,33,61,43,70,1,1,1,0.5,1,2,1.25,0.5,0,1,2,1,1,1,1,1,0.5,0
Heracross,bug;fighting,0,54,80,125,75,40,95,85,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1
Herdier,normal;none,0,14.7,65,80,65,35,65,60,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Hippopotas,ground;none,0,49.5,68,72,78,38,42,32,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
Hippowdon,ground;none,0,300,108,112,118,68,72,47,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
Hitmonchan,fighting;none,0,50.2,50,105,79,35,110,76,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
Hitmonlee,fighting;none,0,49.8,50,120,53,35,110,87,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
Hitmontop,fighting;none,0,48,50,95,95,35,110,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
Ho-oh,fire;flying,0,199,106,130,90,110,154,90,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
Honchkrow,dark;flying,0,27.3,100,125,52,105,52,71,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1
Honedge,steel;ghost,0,2,45,80,100,35,37,28,0.25,2,0.5,1,0.5,0,2,0.5,2,0.5,2,0.5,0,0,0.5,0.5,0.5,1
Hoopa Confined,psychic;ghost,0,9,80,110,60,150,130,70,1,4,1,1,1,0,1,1,4,1,1,1,0,0.5,0.5,1,1,1
Hoopa Unbound,psychic;dark,0,490,80,160,60,170,130,80,4,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1
Hoothoot,normal;flying,0,21.2,60,30,30,36,56,50,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
Hoppip,grass;flying,0,0.5,35,35,40,35,55,50,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
Horsea,water;none,0,8,30,40,70,70,25,60,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Houndoom,dark;fire,0,35,75,90,50,110,80,95,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2
Houndour,dark;fire,0,10.8,45,60,30,80,50,65,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2
Houndstone,ghost,0,15,72,101,100,50,97,68,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
Huntail,water;none,0,27,55,104,105,94,75,52,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Hydreigon,dark;dragon,1,160,92,105,90,125,90,98,2,0.5,2,0.5,4,2,0.5,1,0.5,0.5,0,2,1,1,0,1,1,0.5
Hypno,psychic;none,0,75.6,85,73,70,73,115,67,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Igglybuff,normal;fairy,0,1,90,30,15,40,20,15,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
Illumise,bug;none,0,17.7,65,47,75,73,85,85,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
Impidimp,dark;fairy,0,5.5,45,45,30,55,40,50,1,0.25,0,1,2,1,1,1,0.5,1,1,1,1,2,0,1,2,1
Incineroar,fire;dark,0,83,95,115,90,80,90,60,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2
Indeedee Female,psychic;normal,0,28,70,55,65,95,105,85,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1
Indeedee Male,psychic;normal,0,28,60,65,55,105,95,95,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1
Infernape,fire;fighting,0,55,76,104,71,104,71,108,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
Inkay,dark;psychic,0,3.5,53,54,53,37,46,45,4,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1
Inteleon,water;none,0,45.2,70,85,65,125,65,120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Iron Bundle,ice;water,0,11,56,80,114,124,60,136,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
Iron Hands,fighting;electric,0,380.7,154,140,108,50,68,50,0.5,0.5,1,0.5,2,1,1,1,1,1,2,1,1,1,2,0.5,0.5,1
Iron Jugulis,dark;flying,0,111,94,80,86,122,80,108,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1
Iron Moth,poison;fire,0,36,80,70,60,140,110,110,0.25,1,1,1,0.25,0.5,0.5,1,1,0.25,4,0.5,1,0.5,2,2,0.5,2
Iron Thorns,electric;rock,0,303,100,134,110,70,84,72,1,1,1,0.5,1,2,0.5,0.25,1,2,4,1,0.5,0.5,1,1,1,2
Iron Treads,ground;steel,0,240,90,112,120,72,70,106,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2
Iron Valiant,fighting;fairy,0,35,74,130,90,120,60,116,0.25,0.25,0,1,2,0.5,1,2,1,1,1,1,1,2,2,0.5,2,1
Ivysaur,grass;poison,0,13,60,62,63,80,80,60,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
Jangmo-o,dragon;none,0,29.7,45,55,65,45,45,45,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
Jellicent,water;ghost,0,135,100,60,70,85,105,60,0.5,2,1,2,1,0,0.5,1,2,2,1,0.5,0,0.5,1,1,0.5,0
Jigglypuff,normal;fairy,0,5.5,115,45,20,45,25,20,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
Jirachi,steel;psychic,0,1.1,100,100,100,100,100,100,1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1
Jolteon,electric;none,0,24.5,65,65,60,110,95,130,1,1,1,0,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Joltik,bug;electric,0,0.6,50,47,50,57,50,65,1,1,1,0.5,1,0.5,2,1,1,0.5,1,1,1,1,1,2,0.5,1
Jumpluff,grass;flying,0,3,75,55,70,55,95,110,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
Jynx,ice;psychic,0,40.6,65,50,35,115,95,95,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1
Kabuto,rock;water,0,11.5,30,80,90,55,45,55,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
Kabutops,rock;water,0,40.5,60,115,105,65,70,80,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
Kadabra,psychic;none,0,56.5,40,35,30,120,70,105,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Kakuna,bug;poison,0,10,45,25,50,25,25,35,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
Kangaskhan,normal;none,0,80,105,95,80,40,80,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Karrablast,bug;none,0,5.9,50,75,45,40,45,60,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
Kartana,grass;steel,0,0.1,59,181,131,59,31,109,1,1,0.5,0.5,0.5,2,4,1,1,0.25,1,1,0.5,0,0.5,0.5,0.5,0.5
Kecleon,normal;none,0,22,60,90,70,60,120,40,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Keldeo Ordinary Forme,water;fighting,0,48.5,91,72,90,129,90,108,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5
Keldeo Resolute Forme,water;fighting,0,48.5,91,72,90,129,90,108,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5
Kilowattrel,flying;electric,0,38.6,70,70,60,105,60,125,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1
Kingambit,steel;dark,0,120,100,135,120,60,85,50,1,0.5,0.5,1,1,4,2,0.5,0.5,0.5,2,0.5,0.5,0,0,0.5,0.5,1
Kingdra,water;dragon,0,152,75,95,95,95,95,85,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25
Kingler,water;none,0,60,55,130,115,50,50,75,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Kirlia,psychic;fairy,0,20.2,38,35,35,65,55,50,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
Klang,steel;none,0,51,60,80,95,70,85,50,0.5,1,0.5,1,0.5,2,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,0.5,1
Klawf,rock,0,79,70,100,115,35,55,75,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
Kleavor,bug;rock,0,89,70,135,95,45,70,85,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2
Klefki,steel;fairy,0,3,57,80,91,80,87,75,0.25,0.5,0,1,0.5,1,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,1,1
Klink,steel;none,0,21,40,55,70,45,60,30,0.5,1,0.5,1,0.5,2,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,0.5,1
Klinklang,steel;none,0,81,60,100,115,70,85,90,0.5,1,0.5,1,0.5,2,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,0.5,1
Koffing,poison;none,1,1,40,65,95,60,45,35,0.5,1,1,1,0.5,0.5,1,1,1,0.5,0,1,1,0.5,2,1,1,1
Komala,normal;none,0,19.9,65,115,65,75,95,65,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Kommo-o,dragon;fighting,0,78.2,75,110,125,100,105,85,0.5,0.5,2,0.5,4,1,0.5,2,1,0.5,1,2,1,1,2,0.5,1,0.5
Koraidon,fighting;dragon,0,303,100,135,115,85,100,135,0.5,0.5,2,0.5,4,1,0.5,2,1,0.5,1,2,1,1,2,0.5,1,0.5
Krabby,water;none,0,6.5,30,105,90,25,25,50,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Kricketot,bug;none,0,2.2,37,25,41,25,41,25,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
Kricketune,bug;none,0,25.5,77,85,51,55,51,65,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
Krokorok,ground;dark,0,33.4,60,82,45,45,45,74,2,0.5,1,0,2,2,1,1,0.5,2,1,2,1,0.5,0,0.5,1,2
Krookodile,ground;dark,0,96.3,95,117,80,65,70,92,2,0.5,1,0,2,2,1,1,0.5,2,1,2,1,0.5,0,0.5,1,2
Kubfu,fighting;none,0,12,60,90,60,53,50,72,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
Kyogre,water;none,0,352,100,100,90,150,140,90,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Kyurem,dragon;ice,0,325,125,130,90,130,90,95,1,1,2,0.5,2,2,1,1,1,0.5,1,1,1,1,1,2,2,0.5
Lairon,steel;rock,0,120,60,90,140,50,50,40,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2
Lampent,ghost;fire,0,13,60,40,60,95,60,55,0.25,2,1,1,0.5,0,0,1,2,0.5,2,0.5,0,0.5,1,2,0.5,2
Landorus Incarnate Forme,ground;flying,0,68,89,125,90,115,80,101,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2
Landorus Therian Forme,ground;flying,0,68,89,145,90,105,80,91,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2
Lanturn,water;electric,0,22.5,125,58,58,76,76,67,1,1,1,0,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5
Lapras,water;ice,0,220,130,85,80,85,95,60,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0
Larvesta,bug;fire,0,28.8,55,85,55,50,55,60,0.5,1,1,1,0.5,0.5,1,2,1,0.25,1,0.5,1,1,1,4,0.5,2
Larvitar,rock;ground,0,72,50,64,50,45,50,41,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
Latias,dragon;psychic,1,40,80,80,90,110,130,110,2,2,2,0.5,2,0.5,0.5,1,2,0.5,0,2,1,1,0.5,1,1,0.5
Latios,dragon;psychic,1,60,80,90,80,130,110,110,2,2,2,0.5,2,0.5,0.5,1,2,0.5,0,2,1,1,0.5,1,1,0.5
Leafeon,grass;none,0,25.5,65,110,130,60,65,95,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Leavanny,bug;grass,0,20.5,75,103,80,70,80,92,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5
Lechonk,normal,0,10.2,54,45,40,35,45,35,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Ledian,bug;flying,0,35.6,55,35,50,55,110,85,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
Ledyba,bug;flying,0,10.8,40,20,30,40,80,55,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
Lickilicky,normal;none,0,140,110,85,95,80,95,50,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Lickitung,normal;none,0,65.5,90,55,75,60,75,30,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Liepard,dark;none,0,37.5,64,88,50,88,50,106,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
Lileep,rock;grass,0,23.8,66,41,77,61,87,23,2,1,1,0.5,1,2,1,1,1,1,1,2,0.5,1,1,1,2,1
Lilligant,grass;none,0,16.3,70,60,75,110,75,90,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Lillipup,normal;none,0,4.1,45,60,45,25,45,55,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Linoone,normal;none,0,32.5,78,70,61,50,61,100,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Litleo,fire;normal,0,13.5,62,50,58,73,54,72,0.5,1,1,1,0.5,2,0.5,1,0,0.5,2,0.5,1,1,1,2,0.5,2
Litten,fire;none,0,4.3,45,65,40,60,40,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Litwick,ghost;fire,0,3.1,50,30,55,65,55,20,0.25,2,1,1,0.5,0,0,1,2,0.5,2,0.5,0,0.5,1,2,0.5,2
Lokix,dark;bug,0,17.5,71,102,78,52,55,92,2,0.5,1,1,2,1,2,2,0.5,0.5,0.5,1,1,1,0,2,1,1
Lombre,water;grass,0,32.5,60,50,50,60,70,50,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25
Lopunny,normal;none,0,33.3,65,76,84,54,96,105,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Lotad,water;grass,0,2.6,40,30,30,40,50,30,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25
Loudred,normal;none,0,40.5,84,71,43,71,43,48,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Lucario,fighting;steel,0,54,70,110,70,115,70,90,0.25,0.5,0.5,1,1,2,2,1,1,0.5,2,0.5,0.5,0,1,0.25,0.5,1
Ludicolo,water;grass,0,55,80,70,70,90,100,70,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25
Lugia,psychic;flying,0,216,106,90,130,90,154,110,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
Lumineon,water;none,0,24,69,69,76,69,86,91,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Lunala,psychic;ghost,0,120,137,113,89,137,107,97,1,4,1,1,1,0,1,1,4,1,1,1,0,0.5,0.5,1,1,1
Lunatone,rock;psychic,1,168,90,55,65,95,85,70,2,2,1,1,1,1,0.5,0.5,2,2,0,1,0.5,0.5,0.5,1,2,2
Lurantis,grass;none,0,18.5,70,105,90,80,90,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Luvdisc,water;none,0,8.7,43,30,55,40,65,97,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Luxio,electric;none,0,30.5,60,85,49,60,49,60,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Luxray,electric;none,0,42,80,120,79,95,79,70,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Lycanroc Dusk Form,rock;none,0,25,75,117,65,55,65,110,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
Lycanroc Midday Form,rock;none,0,25,75,115,65,55,65,112,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
Lycanroc Midnight Form,rock;none,0,25,85,115,75,55,75,82,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
Mabosstiff,dark,0,61,80,120,90,60,70,85,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
Machamp,fighting;none,0,130,90,130,80,65,85,55,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
Machoke,fighting;none,0,70.5,80,100,70,50,60,45,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
Machop,fighting;none,0,19.5,70,80,50,35,35,35,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
